Wavelength (nm),Transmittance
200,0.0588147
210,0.0632058
220,0.0611704
230,0.059236
240,0.056358
250,0.0523409
260,0.0482775
270,0.0461168
280,0.0454131
290,0.0460876
300,0.0482349
310,0.0522086
320,0.0578614
330,0.0653852
340,0.0727358
350,0.0790711
360,0.0839528
370,0.0864141
380,0.0880427
390,0.0909961
400,0.0945565
410,0.099691
420,0.105849
430,0.1136297
440,0.1234951
450,0.1371557
460,0.1542994
470,0.1734265
480,0.1945801
490,0.2167771
500,0.2302336
510,0.2298721
520,0.2183762
530,0.1981003
540,0.1762816
550,0.1574658
560,0.1449729
570,0.1411747
580,0.1427156
590,0.1466411
600,0.1484221
610,0.1499749
620,0.151423
630,0.1566617
640,0.1587696
650,0.1564875
660,0.1396878
670,0.1206655
680,0.1018508
690,0.086649
700,0.0770169
710,0.0687942
720,0.0624927
730,0.0569358
740,0.0526775
750,0.048813
760,0.0456113
770,0.0427231
780,0.0400707
790,0.0376311
800,0.0353839
810,0.0335257
820,0.0317954
830,0.030314
840,0.029164
850,0.0280741
860,0.0270763
870,0.0261629
880,0.0252927
890,0.0244065
900,0.0234945
910,0.0226295
920,0.0218148
930,0.0210734
940,0.0203672
950,0.0196939
960,0.0191549
970,0.0186964
980,0.0182538
990,0.0178264
1000,0.0173876
1010,0.0169586
1020,0.0165449
1030,0.0161459
1040,0.0156417
1050,0.0151058
1060,0.0145952
1070,0.0141084
1080,0.0136468
1090,0.0132176
1100,0.0128072
1110,0.0124145
1120,0.0120385
1130,0.0116837
1140,0.0113562
1150,0.0110417
1160,0.0107394
1170,0.0104488
1180,0.0101693
1190,0.0100485
1200,0.0099427
1210,0.0098385
1220,0.0097357
1230,0.0096344
1240,0.0095399
1250,0.0098056
1260,0.0100747
1270,0.0103472
1280,0.0106232
1290,0.0109025
1300,0.0111852
1310,0.0114593
1320,0.0117236
1330,0.0119901
1340,0.0122589
1350,0.0125299
1360,0.0128031
1370,0.0130785
1380,0.0132635
1390,0.0131551
1400,0.0130479
1410,0.0129418
1420,0.0128368
1430,0.012733
1440,0.0126302
1450,0.0125286
1460,0.0124162
1470,0.0122311
1480,0.01205
1490,0.0118729
1500,0.0116997
1510,0.0115302
1520,0.0113644
1530,0.011202
1540,0.0110431
1550,0.010888
1560,0.0107567
1570,0.0106278
1580,0.0105013
1590,0.0103769
1600,0.0102547
1610,0.0101347
1620,0.0100168
1630,0.0099009
1640,0.009787
1650,0.009675
1660,0.0095642
1670,0.009455
1680,0.0093476
1690,0.009242
1700,0.0091382
1710,0.0090361
1720,0.0089358
1730,0.008837
1740,0.0087399
1750,0.0086444
1760,0.0085505
1770,0.0084581
1780,0.0083732
1790,0.0082905
1800,0.0082089
1810,0.0081286
1820,0.0080494
1830,0.0079714
1840,0.0078945
1850,0.0078187
1860,0.0077439
1870,0.0076703
1880,0.0075977
1890,0.0075261
1900,0.0074555
1910,0.0073858
1920,0.007317
1930,0.0072491
1940,0.0071821
1950,0.007116
1960,0.0070509
1970,0.0069867
1980,0.0069233
1990,0.0068607
2000,0.0067991
2010,0.0067382
2020,0.0066782
2030,0.0066189
2040,0.0065605
2050,0.0065028
2060,0.0064458
2070,0.0063896
2080,0.0063342
2090,0.0062795
2100,0.0062255
2110,0.0061722
2120,0.0061196
2130,0.0060676
2140,0.0060163
2150,0.0059657
2160,0.0059157
2170,0.0058663
2180,0.0058175
2190,0.0057693
2200,0.0057217
2210,0.0056748
2220,0.0056283
2230,0.0055825
2240,0.0055372
2250,0.0054925
2260,0.0054491
2270,0.0054068
2280,0.005365
2290,0.0053237
2300,0.0052829
2310,0.0052426
2320,0.0052027
2330,0.0051632
2340,0.0051242
2350,0.0050857
2360,0.0050475
2370,0.0050098
2380,0.0049725
2390,0.0049357
2400,0.0048992
2410,0.0048632
2420,0.0048275
2430,0.0047922
2440,0.0047573
2450,0.0047228
2460,0.0046887
2470,0.0046549
2480,0.0046242
2490,0.0046819
2500,0.0047398
2510,0.0047981
2520,0.0048567
2530,0.0049157
2540,0.0049749
2550,0.0050345
2560,0.0050944
2570,0.0051546
2580,0.0052151
2590,0.005276
2600,0.0053371
2610,0.0053986
2620,0.0054604
2630,0.0055225
2640,0.0055849
2650,0.0056477
2660,0.0057107
2670,0.0057741
2680,0.0058377
2690,0.0059017
2700,0.005966
2710,0.0060306
2720,0.0060955
2730,0.0061607
2740,0.0062262
2750,0.006292
2760,0.0063581
2770,0.0064245
2780,0.0064912
2790,0.0065583
2800,0.0066256
2810,0.0066932
2820,0.0067611
2830,0.0068294
2840,0.0068979
2850,0.0069667
2860,0.0070358
2870,0.0071052
2880,0.0071749
2890,0.0072449
2900,0.0073152
2910,0.0073858
2920,0.0074566
2930,0.0075278
2940,0.0075993
2950,0.007671
2960,0.007743
2970,0.0078154
2980,0.007888
2990,0.0079609
3000,0.0080341
3010,0.0081075
3020,0.0081813
3030,0.0082553
3040,0.0083296
3050,0.0084043
3060,0.0084791
3070,0.0085543
3080,0.0086298
3090,0.0087055
3100,0.0087815
3110,0.0088578
3120,0.0089344
3130,0.0090113
3140,0.0090884
3150,0.0091658
3160,0.0092435
3170,0.0093215
3180,0.0093997
3190,0.0094782
3200,0.009557
3210,0.0096361
3220,0.0097154
3230,0.009795
3240,0.0098749
3250,0.009955
3260,0.0100355
3270,0.0101162
3280,0.0101971
3290,0.0102784
3300,0.0103599
3310,0.0104416
3320,0.0105237
3330,0.010606
3340,0.0106885
3350,0.0107714
3360,0.0108545
3370,0.0109379
3380,0.0110215
3390,0.0111054
3400,0.0111896
3410,0.011274
3420,0.0113587
3430,0.0114436
3440,0.0115288
3450,0.0116143
3460,0.0117
3470,0.011786
3480,0.0118723
3490,0.0119588
3500,0.0120456
3510,0.0121326
3520,0.0122199
3530,0.0123074
3540,0.0123952
3550,0.0124833
3560,0.0125716
3570,0.0126602
3580,0.012749
3590,0.012838
3600,0.0129274
3610,0.013017
3620,0.0131068
3630,0.0131969
3640,0.0132872
3650,0.0133778
3660,0.0134687
3670,0.0135598
3680,0.0136511
3690,0.0137427
3700,0.0138345
3710,0.0139266
3720,0.014019
3730,0.0141116
3740,0.0142044
3750,0.0142975
3760,0.0143908
3770,0.0144844
3780,0.0145782
3790,0.0146723
3800,0.0147666
3810,0.0148612
3820,0.014956
3830,0.015051
3840,0.0151463
3850,0.0152418
3860,0.0153376
3870,0.0154336
3880,0.0155299
3890,0.0156264
3900,0.0157231
3910,0.0158201
3920,0.0159173
3930,0.0160148
3940,0.0161125
3950,0.0162104
3960,0.0163086
3970,0.016407
3980,0.0165057
3990,0.0166045
4000,0.0167037
4010,0.016803
4020,0.0169026
4030,0.0170025
4040,0.0171025
4050,0.0172029
4060,0.0173034
4070,0.0174042
4080,0.0175052
4090,0.0176064
4100,0.0177079
4110,0.0178096
4120,0.0179115
4130,0.0180137
4140,0.0181161
4150,0.0182188
4160,0.0183216
4170,0.0184247
4180,0.0185281
4190,0.0186316
4200,0.0187354
4210,0.0188394
4220,0.0189437
4230,0.0190481
4240,0.0191528
4250,0.0192578
4260,0.0193629
4270,0.0194683
4280,0.0195739
4290,0.0196797
4300,0.0197858
4310,0.0198921
4320,0.0199986
4330,0.0201053
4340,0.0202123
4350,0.0203195
4360,0.0204269
4370,0.0205345
4380,0.0206424
4390,0.0207505
4400,0.0208588
4410,0.0209673
4420,0.021076
4430,0.021185
4440,0.0212942
4450,0.0214036
4460,0.0215132
4470,0.0216231
4480,0.0217331
4490,0.0218434
4500,0.0219539
4510,0.0220647
4520,0.0221756
4530,0.0222868
4540,0.0223982
4550,0.0225097
4560,0.0226216
4570,0.0227336
4580,0.0228458
4590,0.0229583
4600,0.023071
4610,0.0231839
4620,0.023297
4630,0.0234103
4640,0.0235239
4650,0.0236376
4660,0.0237516
4670,0.0238658
4680,0.0239802
4690,0.0240948
4700,0.0242096
4710,0.0243246
4720,0.0244398
4730,0.0245553
4740,0.024671
4750,0.0247869
4760,0.0249029
4770,0.0250192
4780,0.0251357
4790,0.0252525
4800,0.0253694
4810,0.0254865
4820,0.0256039
4830,0.0257214
4840,0.0258392
4850,0.0259572
4860,0.0260753
4870,0.0261937
4880,0.0263123
4890,0.0264311
4900,0.0265501
4910,0.0266693
4920,0.0267888
4930,0.0269084
4940,0.0270282
4950,0.0271482
4960,0.0272685
4970,0.0273889
4980,0.0275096
4990,0.0276304
5000,0.0277515
5010,0.0278727
5020,0.0279942
5030,0.0281158
5040,0.0282377
5050,0.0283598
5060,0.028482
5070,0.0286045
5080,0.0287272
5090,0.02885
5100,0.0289731
5110,0.0290964
5120,0.0292198
5130,0.0293435
5140,0.0294674
5150,0.0295914
5160,0.0297157
5170,0.0298402
5180,0.0299648
5190,0.0300897
5200,0.0302147
5210,0.03034
5220,0.0304655
5230,0.0305911
5240,0.0307169
5250,0.030843
5260,0.0309692
5270,0.0310956
5280,0.0312223
5290,0.0313491
5300,0.0314761
5310,0.0316033
5320,0.0317307
5330,0.0318583
5340,0.0319861
5350,0.0321141
5360,0.0322423
5370,0.0323706
5380,0.0324992
5390,0.032628
5400,0.0327569
5410,0.032886
5420,0.0330154
5430,0.0331449
5440,0.0332746
5450,0.0334045
5460,0.0335346
5470,0.0336649
5480,0.0337953
5490,0.033926
5500,0.0340568
5510,0.0341879
5520,0.0343191
5530,0.0344505
5540,0.0345821
5550,0.0347139
5560,0.0348459
5570,0.034978
5580,0.0351104
5590,0.0352429
5600,0.0353756
5610,0.0355085
5620,0.0356416
5630,0.0357749
5640,0.0359084
5650,0.036042
5660,0.0361758
5670,0.0363099
5680,0.0364441
5690,0.0365785
5700,0.036713
5710,0.0368478
5720,0.0369827
5730,0.0371178
5740,0.0372531
5750,0.0373886
5760,0.0375243
5770,0.0376601
5780,0.0377961
5790,0.0379323
5800,0.0380687
5810,0.0382053
5820,0.038342
5830,0.0384789
5840,0.038616
5850,0.0387533
5860,0.0388908
5870,0.0390284
5880,0.0391663
5890,0.0393043
5900,0.0394424
5910,0.0395808
5920,0.0397193
5930,0.039858
5940,0.0399969
5950,0.040136
5960,0.0402752
5970,0.0404146
5980,0.0405542
5990,0.040694
6000,0.0408339
6010,0.040974
6020,0.0411143
6030,0.0412548
6040,0.0413954
6050,0.0415363
6060,0.0416772
6070,0.0418184
6080,0.0419597
6090,0.0421012
6100,0.0422429
6110,0.0423848
6120,0.0425268
6130,0.042669
6140,0.0428114
6150,0.0429539
6160,0.0430966
6170,0.0432395
6180,0.0433825
6190,0.0435258
6200,0.0436691
6210,0.0438127
6220,0.0439564
6230,0.0441003
6240,0.0442444
6250,0.0443886
6260,0.044533
6270,0.0446776
6280,0.0448224
6290,0.0449673
6300,0.0451123
6310,0.0452576
6320,0.045403
6330,0.0455486
6340,0.0456943
6350,0.0458402
6360,0.0459863
6370,0.0461325
6380,0.0462789
6390,0.0464255
6400,0.0465722
6410,0.0467191
6420,0.0468662
6430,0.0470134
6440,0.0471608
6450,0.0473084
6460,0.0474561
6470,0.047604
6480,0.047752
6490,0.0479002
6500,0.0480486
6510,0.0481971
6520,0.0483458
6530,0.0484947
6540,0.0486437
6550,0.0487929
6560,0.0489422
6570,0.0490917
6580,0.0492413
6590,0.0493912
6600,0.0495411
6610,0.0496913
6620,0.0498416
6630,0.049992
6640,0.0501426
6650,0.0502934
6660,0.0504443
6670,0.0505954
6680,0.0507467
6690,0.0508981
6700,0.0510496
6710,0.0512013
6720,0.0513532
6730,0.0515052
6740,0.0516574
6750,0.0518097
6760,0.0519622
6770,0.0521149
6780,0.0522677
6790,0.0524206
6800,0.0525738
6810,0.052727
6820,0.0528804
6830,0.053034
6840,0.0531877
6850,0.0533416
6860,0.0534957
6870,0.0536498
6880,0.0538042
6890,0.0539587
6900,0.0541133
6910,0.0542681
6920,0.0544231
6930,0.0545782
6940,0.0547334
6950,0.0548888
6960,0.0550444
6970,0.0552001
6980,0.0553559
6990,0.0555119
7000,0.0556681
7010,0.0558244
7020,0.0559808
7030,0.0561374
7040,0.0562942
7050,0.056451
7060,0.0566081
7070,0.0567653
7080,0.0569226
7090,0.0570801
7100,0.0572377
7110,0.0573955
7120,0.0575534
7130,0.0577115
7140,0.0578697
7150,0.0580281
7160,0.0581866
7170,0.0583452
7180,0.058504
7190,0.058663
7200,0.058822
7210,0.0589813
7220,0.0591407
7230,0.0593002
7240,0.0594598
7250,0.0596196
7260,0.0597796
7270,0.0599397
7280,0.0600999
7290,0.0602603
7300,0.0604208
7310,0.0605815
7320,0.0607423
7330,0.0609032
7340,0.0610643
7350,0.0612255
7360,0.0613869
7370,0.0615484
7380,0.06171
7390,0.0618718
7400,0.0620337
7410,0.0621958
7420,0.062358
7430,0.0625203
7440,0.0626828
7450,0.0628454
7460,0.0630082
7470,0.0631711
7480,0.0633341
7490,0.0634973
7500,0.0636606
7510,0.063824
7520,0.0639876
7530,0.0641513
7540,0.0643152
7550,0.0644791
7560,0.0646433
7570,0.0648075
7580,0.0649719
7590,0.0651364
7600,0.0653011
7610,0.0654659
7620,0.0656308
7630,0.0657959
7640,0.0659611
7650,0.0661264
7660,0.0662919
7670,0.0664575
7680,0.0666232
7690,0.0667891
7700,0.0669551
7710,0.0671212
7720,0.0672875
7730,0.0674539
7740,0.0676204
7750,0.067787
7760,0.0679538
7770,0.0681207
7780,0.0682878
7790,0.068455
7800,0.0686223
7810,0.0687897
7820,0.0689573
7830,0.069125
7840,0.0692928
7850,0.0694607
7860,0.0696288
7870,0.069797
7880,0.0699654
7890,0.0701338
7900,0.0703024
7910,0.0704711
7920,0.07064
7930,0.0708089
7940,0.070978
7950,0.0711473
7960,0.0713166
7970,0.0714861
7980,0.0716557
7990,0.0718254
8000,0.0719953
8010,0.0721652
8020,0.0723353
8030,0.0725056
8040,0.0726759
8050,0.0728464
8060,0.073017
8070,0.0731877
8080,0.0733586
8090,0.0735295
8100,0.0737006
8110,0.0738718
8120,0.0740432
8130,0.0742146
8140,0.0743862
8150,0.0745579
8160,0.0747297
8170,0.0749017
8180,0.0750737
8190,0.0752459
8200,0.0754182
8210,0.0755906
8220,0.0757632
8230,0.0759358
8240,0.0761086
8250,0.0762815
8260,0.0764545
8270,0.0766277
8280,0.0768009
8290,0.0769743
8300,0.0771478
8310,0.0773214
8320,0.0774952
8330,0.077669
8340,0.077843
8350,0.0780171
8360,0.0781912
8370,0.0783656
8380,0.07854
8390,0.0787145
8400,0.0788892
8410,0.079064
8420,0.0792389
8430,0.0794139
8440,0.079589
8450,0.0797642
8460,0.0799396
8470,0.0801151
8480,0.0802906
8490,0.0804663
8500,0.0806421
8510,0.080818
8520,0.0809941
8530,0.0811702
8540,0.0813465
8550,0.0815229
8560,0.0816993
8570,0.0818759
8580,0.0820526
8590,0.0822295
8600,0.0824064
8610,0.0825834
8620,0.0827606
8630,0.0829378
8640,0.0831152
8650,0.0832927
8660,0.0834703
8670,0.083648
8680,0.0838258
8690,0.0840037
8700,0.0841817
8710,0.0843599
8720,0.0845381
8730,0.0847164
8740,0.0848949
8750,0.0850735
8760,0.0852522
8770,0.0854309
8780,0.0856098
8790,0.0857888
8800,0.0859679
8810,0.0861471
8820,0.0863264
8830,0.0865059
8840,0.0866854
8850,0.086865
8860,0.0870448
8870,0.0872246
8880,0.0874046
8890,0.0875846
8900,0.0877648
8910,0.087945
8920,0.0881254
8930,0.0883058
8940,0.0884864
8950,0.0886671
8960,0.0888479
8970,0.0890287
8980,0.0892097
8990,0.0893908
9000,0.089572
9010,0.0897533
9020,0.0899347
9030,0.0901162
9040,0.0902978
9050,0.0904794
9060,0.0906612
9070,0.0908431
9080,0.0910251
9090,0.0912072
9100,0.0913894
9110,0.0915717
9120,0.0917541
9130,0.0919366
9140,0.0921192
9150,0.0923019
9160,0.0924847
9170,0.0926676
9180,0.0928505
9190,0.0930336
9200,0.0932168
9210,0.0934001
9220,0.0935834
9230,0.0937669
9240,0.0939505
9250,0.0941342
9260,0.0943179
9270,0.0945018
9280,0.0946857
9290,0.0948698
9300,0.0950539
9310,0.0952382
9320,0.0954225
9330,0.0956069
9340,0.0957915
9350,0.0959761
9360,0.0961608
9370,0.0963456
9380,0.0965305
9390,0.0967155
9400,0.0969006
9410,0.0970858
9420,0.097271
9430,0.0974564
9440,0.0976419
9450,0.0978274
9460,0.098013
9470,0.0981988
9480,0.0983846
9490,0.0985705
9500,0.0987565
9510,0.0989426
9520,0.0991288
9530,0.0993151
9540,0.0995015
9550,0.0996879
9560,0.0998745
9570,0.1000611
9580,0.1002479
9590,0.1004347
9600,0.1006216
9610,0.1008086
9620,0.1009957
9630,0.1011828
9640,0.1013701
9650,0.1015575
9660,0.1017449
9670,0.1019324
9680,0.10212
9690,0.1023077
9700,0.1024955
9710,0.1026834
9720,0.1028714
9730,0.1030594
9740,0.1032475
9750,0.1034357
9760,0.103624
9770,0.1038124
9780,0.1040009
9790,0.1041895
9800,0.1043781
9810,0.1045668
9820,0.1047557
9830,0.1049445
9840,0.1051335
9850,0.1053226
9860,0.1055117
9870,0.105701
9880,0.1058903
9890,0.1060797
9900,0.1062691
9910,0.1064587
9920,0.1066483
9930,0.1068381
9940,0.1070279
9950,0.1072178
9960,0.1074078
9970,0.1075978
9980,0.1077879
9990,0.1079781
10000,0.1081684
10010,0.1083588
10020,0.1085493
10030,0.1087398
10040,0.1089304
10050,0.1091211
10060,0.1093119
10070,0.1095027
10080,0.1096937
10090,0.1098847
10100,0.1100758
10110,0.1102669
10120,0.1104582
10130,0.1106495
10140,0.1108409
10150,0.1110324
10160,0.1112239
10170,0.1114156
10180,0.1116073
10190,0.111799
10200,0.1119909
10210,0.1121828
10220,0.1123749
10230,0.1125669
10240,0.1127591
10250,0.1129513
10260,0.1131437
10270,0.1133361
10280,0.1135285
10290,0.1137211
10300,0.1139137
10310,0.1141064
10320,0.1142991
10330,0.114492
10340,0.1146849
10350,0.1148779
10360,0.1150709
10370,0.115264
10380,0.1154572
10390,0.1156505
